Nom de test ;Catégorie de test;Direction métier (Nomination Capgemin/MG2);Répartition (STM/ SSTM / SYNTHESE );Test d'homologation;Pays de commercialisation;Prestation à valider;Sous prestation;Catégorie du Véhicule;Stratégie de Validation;Pourcentage de la nécessité de la réalisation de l'essai;Prix de l'essai en (€);Jalon;Durée de l'essai (Jour);Lieu de réalisation de l'essai;Description de l'essai;Test à faire dans le cadre d'une Mi-vie;Zone de modification;Niveau de modification;Type de moyen;Moyen Dédié /Partagé
ROULAGE OBD VALIDATION 20 000km;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;42900;Industrialisation;110.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE FORTE CHARGE BEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;23400;Industrialisation;60.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE RCE CHAUD BEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;8000;Industrialisation;20.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE RCE FROID BEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;8000;Industrialisation;20.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE PRO ACCELERE PHEV/THERMIQUE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;28000;Industrialisation;70.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE PRO ACCELERE BEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;28000;Industrialisation;70.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE PRO SYNTHESE LCC;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;12150;Industrialisation;30.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE PRO CHAUD;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;20250;Industrialisation;50.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE PRO FROID;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;20250;Industrialisation;50.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE PRO PROOF OF CONCEPT;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;27300;Industrialisation;70.0;UTAC France;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE PRO EUROPE GB;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;8100;Industrialisation;20.0;UTAC France;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE PRO EUROPE EST;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;8100;Industrialisation;20.0;UTAC France;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE RCE FROID PHEV/THERMIQUE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;8100;Industrialisation;20.0;UTAC France;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE RCE CHAUD PHEV/THERMIQUE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;8100;Industrialisation;20.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE PRO EUROPE OUEST;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;8100;Industrialisation;20.0;UTAC France;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ROULAGE CTR 30 000km PHEV;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;39000;Industrialisation;100.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Roulage QAU véh ELE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;54600;Industrialisation;140.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Roulage extérieur ambiante chaude;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;8100;Industrialisation;20.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Roulage extérieur ambiante tempéré;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;4300;Industrialisation;10.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Calcul roulage numérique en endurance (RNE);RESIST TO MECHANICAL ENVIRONMENT;MG2 CAE;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Numérique;50%;NC;Développement;10.0;;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];;
Calcul roulage numérique en endurance pour la suspension GMP;RESIST TO MECHANICAL ENVIRONMENT;MG2 CAE;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Numérique;50%;NC;Développement;10.0;;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];;
Endurance à la manœuvre de porte latérales AV-AR;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Sous système;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;23790;Industrialisation;61.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Endurance à la manœuvre de porte latérales AV-AR;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;23790;Industrialisation;61.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];BIW + Porte;Dédié 
Essai Validation CEM véhicule;CONTROL VEHICLE EMISSIONS;MG2 - DMA;Synthèse;;;Durabilité;Endurance véhicule;Toutes catégories;;;To be defined;Industrialisation;30.0;IDIADA Espagne;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Essai d'endurance banc 4 vérins des systèmes de portage sur toit (barres de toit, galerie, …);RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Sous système;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;10.0;UTAC France;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Essai d'endurance sur banc 26 verins;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;60.0;UTAC France;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Mesure effort train AR -caisse couplée à la mesure endurance train AR pour banc TRIAXE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Sous système;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;40.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Masses et Dimensions;VEHICLE GEOMETRIC ARCHITECTURE;MG2 - DMA;Synthèse;X;Toutes destinations;Masses;Masses;Toutes catégories;Physique ;100%;210;Industrialisation;1.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];;Partagé
Masses et Dimensions _ Pesée et dimension véhicule UE 1230/2012;VEHICLE GEOMETRIC ARCHITECTURE;MG2 - DMA;Synthèse;X;Toutes destinations;Masses;Masses;Toutes catégories;Physique ;100%;To be defined;Industrialisation;4.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];;
Masses et dimensions - Angle de Stabilité Maximum - TRIAS 2-1971;VEHICLE GEOMETRIC ARCHITECTURE;MG2 - DMA;Synthèse;X;Toutes destinations;Masses;Masses;Toutes catégories;Physique ;100%;To be defined;Industrialisation;1.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];;
Masses réelles  TRIAS02-001-01 Pour TDS;VEHICLE GEOMETRIC ARCHITECTURE;MG2 - DMA;Synthèse;X;Toutes destinations;Masses;Masses;Toutes catégories;Physique ;100%;To be defined;Industrialisation;1.0;UTAC Oued Zem;;OUI;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];;
Mesure pour endurance train AV pour banc TRIAXE;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Sous système;;Toutes destinations;Durabilité;Endurance véhicule;Toutes catégories;Physique ;100%;To be defined;Industrialisation;25.0;UTAC Oued Zem;;Non;Face avant & Face Arrière & Habitacle & Face Lat;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Dédié 
Mesure cartographie température projecteur;RESIST TO MECHANICAL ENVIRONMENT;MG2 - DMA;Synthèse;;Toutes destinations;;;Toutes catégories;;;;;;;;;;;;
